disease,entrez_id
autoimmune diseases,286016
autoimmune diseases,54207
autoimmune diseases,23274
autoimmune diseases,200734
autoimmune diseases,11277
autoimmune diseases,246778
autoimmune diseases,79970
autoimmune diseases,8870
autoimmune diseases,7253
autoimmune diseases,3569
autoimmune diseases,164832
autoimmune diseases,5696
autoimmune diseases,55024
autoimmune diseases,55937
autoimmune diseases,169792
autoimmune diseases,116935
autoimmune diseases,3309
autoimmune diseases,399
autoimmune diseases,7132
autoimmune diseases,5491
autoimmune diseases,4439
autoimmune diseases,6665
autoimmune diseases,1656
autoimmune diseases,5966
autoimmune diseases,6583
autoimmune diseases,3663
autoimmune diseases,56984
autoimmune diseases,1134
autoimmune diseases,11120
autoimmune diseases,645950
autoimmune diseases,440387
autoimmune diseases,57661
autoimmune diseases,359758
autoimmune diseases,7148
autoimmune diseases,114904
autoimmune diseases,26147
autoimmune diseases,79692
autoimmune diseases,83648
autoimmune diseases,3593
autoimmune diseases,100271600
autoimmune diseases,629
autoimmune diseases,7919
autoimmune diseases,7918
autoimmune diseases,283598
autoimmune diseases,80760
autoimmune diseases,6927
autoimmune diseases,100270925
autoimmune diseases,7917
autoimmune diseases,7916
autoimmune diseases,80069
autoimmune diseases,1504
autoimmune diseases,6048
autoimmune diseases,2113
autoimmune diseases,6366
autoimmune diseases,25865
autoimmune diseases,375616
autoimmune diseases,53347
autoimmune diseases,349158
autoimmune diseases,160365
autoimmune diseases,147409
autoimmune diseases,10019
autoimmune diseases,64332
autoimmune diseases,8477
autoimmune diseases,3087
autoimmune diseases,868
autoimmune diseases,54806
autoimmune diseases,221584
autoimmune diseases,55384
autoimmune diseases,54414
autoimmune diseases,4914
autoimmune diseases,3305
autoimmune diseases,285834
autoimmune diseases,54665
autoimmune diseases,5211
autoimmune diseases,4008
autoimmune diseases,355
autoimmune diseases,8320
autoimmune diseases,22898
autoimmune diseases,326
autoimmune diseases,3976
autoimmune diseases,65125
autoimmune diseases,150221
autoimmune diseases,150223
autoimmune diseases,449492
autoimmune diseases,116379
autoimmune diseases,26797
autoimmune diseases,117289
autoimmune diseases,7100
autoimmune diseases,81797
autoimmune diseases,1041
autoimmune diseases,100130756
autoimmune diseases,57705
autoimmune diseases,29777
autoimmune diseases,3710
autoimmune diseases,1145
autoimmune diseases,9474
autoimmune diseases,11118
autoimmune diseases,696
autoimmune diseases,3122
autoimmune diseases,3123
autoimmune diseases,3120
autoimmune diseases,3127
autoimmune diseases,11116
autoimmune diseases,83737
autoimmune diseases,547
autoimmune diseases,267014
autoimmune diseases,29113
autoimmune diseases,267016
autoimmune diseases,267017
autoimmune diseases,1460
autoimmune diseases,352961
autoimmune diseases,387122
autoimmune diseases,9374
autoimmune diseases,23569
autoimmune diseases,22925
autoimmune diseases,4234
autoimmune diseases,64375
autoimmune diseases,5428
autoimmune diseases,554251
autoimmune diseases,5594
autoimmune diseases,6565
autoimmune diseases,6311
autoimmune diseases,921
autoimmune diseases,923
autoimmune diseases,1380
autoimmune diseases,2065
autoimmune diseases,139716
autoimmune diseases,55328
autoimmune diseases,10538
autoimmune diseases,221527
autoimmune diseases,8449
autoimmune diseases,10125
autoimmune diseases,253018
autoimmune diseases,4282
autoimmune diseases,449493
autoimmune diseases,4280
autoimmune diseases,3575
autoimmune diseases,55423
autoimmune diseases,730070
autoimmune diseases,6821
autoimmune diseases,723961
autoimmune diseases,100189529
autoimmune diseases,150280
autoimmune diseases,259197
autoimmune diseases,4758
autoimmune diseases,780
autoimmune diseases,6774
autoimmune diseases,6775
autoimmune diseases,8741
autoimmune diseases,2294
autoimmune diseases,25780
autoimmune diseases,3009
autoimmune diseases,81606
autoimmune diseases,394254
autoimmune diseases,11170
autoimmune diseases,115352
autoimmune diseases,10919
autoimmune diseases,10318
autoimmune diseases,388011
autoimmune diseases,7292
